OrderNumber,OrderItem,YEAR,MONTH,Date,Customer,CustDescr,City,SalesOrg,Country,Product,ProdDescr,ProdCat,CatDescr,Division,SalesQuantity,UnitOfMeasure,Currency,Revenue,Discount,Revenue USD,Discount USD,Costs in USD
100001,10,2007,1,1/1/2007,17000,Cruiser Bikes,Hannover,DN00,DE,PRTR1000,Professional Touring Bike-Black,TOU,Touring Bike,BI,4,ST,EUR,10669.84,320.1,14080.02,422.41,6000
100001,20,2007,1,1/1/2007,17000,Cruiser Bikes,Hannover,DN00,DE,DXTR1000,Deluxe Touring Bike-Black,TOU,Touring Bike,BI,8,ST,EUR,20005.92,600.18,26400,792,11200
100001,30,2007,1,1/1/2007,17000,Cruiser Bikes,Hannover,DN00,DE,DXRD2000,Road Bike Alu SRAM,ROB,Roadbike,BI,2,ST,EUR,2750.82,82.52,3630.01,108.89,1900
100001,40,2007,1,1/1/2007,17000,Cruiser Bikes,Hannover,DN00,DE,ORWN1000,Women's Off Road Bike Fully,ORB,Offroad Bike,BI,5,ST,EUR,10419.75,312.59,13750,412.5,6250
100002,10,2007,1,1/3/2007,15000,Bavaria Bikes,München,DS00,DE,PRTR1000,Professional Touring Bike-Black,TOU,Touring Bike,BI,4,ST,EUR,10669.84,533.49,14052.21,702.61,6000
100002,20,2007,1,1/3/2007,15000,Bavaria Bikes,München,DS00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,7,ST,EUR,9919.6,495.98,13064.14,653.21,6650
100002,30,2007,1,1/3/2007,15000,Bavaria Bikes,München,DS00,DE,SHRT1000,T-shirt,ACC,Accessoire,AS,6,ST,EUR,150.06,7.5,197.63,9.88,90
100002,40,2007,1,1/3/2007,15000,Bavaria Bikes,München,DS00,DE,RHMT1000,Road Helmet,ACC,Accessoire,AS,1,ST,EUR,41.68,2.09,54.89,2.75,25
100002,50,2007,1,1/3/2007,15000,Bavaria Bikes,München,DS00,DE,FAID1000,First Aid Kit,ACC,Accessoire,AS,21,ST,EUR,700.22,35.01,922.19,46.11,420
100002,60,2007,1,1/3/2007,15000,Bavaria Bikes,München,DS00,DE,PRRD1000,Road Bike Carbon Shimano,ROB,Roadbike,BI,7,ST,EUR,23340.24,1167.01,30739.15,1536.96,15400
